common.name,scientific.name,state,query.volume.state,encounter.state.normalized
white-tailed kite,Elanus leucurus,New York,0,0
white-tailed kite,Elanus leucurus,North Carolina,0,0
white-tailed kite,Elanus leucurus,North Dakota,0,0
white-tailed kite,Elanus leucurus,Ohio,0,0
white-tailed kite,Elanus leucurus,Oklahoma,0,0.333344418
white-tailed kite,Elanus leucurus,Oregon,0,6.233181429
white-tailed kite,Elanus leucurus,Pennsylvania,0,0
white-tailed kite,Elanus leucurus,Rhode Island,0,0
white-tailed kite,Elanus leucurus,South Carolina,0,0.019868076
white-tailed kite,Elanus leucurus,South Dakota,0,0
white-tailed kite,Elanus leucurus,Tennessee,0,0
white-tailed kite,Elanus leucurus,Texas,19,41.2861125
white-tailed kite,Elanus leucurus,Utah,0,0.365189493
white-tailed kite,Elanus leucurus,Vermont,0,0
white-tailed kite,Elanus leucurus,Virginia,0,0.013310803
white-tailed kite,Elanus leucurus,Washington,29,0.248711665
white-tailed kite,Elanus leucurus,West Virginia,0,0
white-tailed kite,Elanus leucurus,Wisconsin,0,0.199453835
white-tailed kite,Elanus leucurus,Wyoming,0,0
white-tailed ptarmigan,Lagopus leucura,Alabama,0,0
white-tailed ptarmigan,Lagopus leucura,Alaska,0,79.12105458
white-tailed ptarmigan,Lagopus leucura,Arizona,0,0
white-tailed ptarmigan,Lagopus leucura,Arkansas,0,0
white-tailed ptarmigan,Lagopus leucura,California,10,1.849798034
white-tailed ptarmigan,Lagopus leucura,Colorado,100,100
white-tailed ptarmigan,Lagopus leucura,Connecticut,0,0
white-tailed ptarmigan,Lagopus leucura,Delaware,0,0
white-tailed ptarmigan,Lagopus leucura,District of Columbia,0,0
white-tailed ptarmigan,Lagopus leucura,Florida,0,0
white-tailed ptarmigan,Lagopus leucura,Georgia,0,0
white-tailed ptarmigan,Lagopus leucura,Hawaii,0,0
white-tailed ptarmigan,Lagopus leucura,Idaho,0,0
white-tailed ptarmigan,Lagopus leucura,Illinois,0,0
white-tailed ptarmigan,Lagopus leucura,Indiana,0,0
white-tailed ptarmigan,Lagopus leucura,Iowa,0,0
white-tailed ptarmigan,Lagopus leucura,Kansas,0,0
white-tailed ptarmigan,Lagopus leucura,Kentucky,0,0
white-tailed ptarmigan,Lagopus leucura,Louisiana,0,0
white-tailed ptarmigan,Lagopus leucura,Maine,0,0
white-tailed ptarmigan,Lagopus leucura,Maryland,0,0
white-tailed ptarmigan,Lagopus leucura,Massachusetts,0,0
white-tailed ptarmigan,Lagopus leucura,Michigan,0,0
white-tailed ptarmigan,Lagopus leucura,Minnesota,0,0
white-tailed ptarmigan,Lagopus leucura,Mississippi,0,0
white-tailed ptarmigan,Lagopus leucura,Missouri,0,0
white-tailed ptarmigan,Lagopus leucura,Montana,0,19.55325115
white-tailed ptarmigan,Lagopus leucura,Nebraska,0,0
white-tailed ptarmigan,Lagopus leucura,Nevada,0,0
white-tailed ptarmigan,Lagopus leucura,New Hampshire,0,0
white-tailed ptarmigan,Lagopus leucura,New Jersey,0,0
white-tailed ptarmigan,Lagopus leucura,New Mexico,0,3.514787855
white-tailed ptarmigan,Lagopus leucura,New York,0,0
white-tailed ptarmigan,Lagopus leucura,North Carolina,0,0
white-tailed ptarmigan,Lagopus leucura,North Dakota,0,0
white-tailed ptarmigan,Lagopus leucura,Ohio,0,0
white-tailed ptarmigan,Lagopus leucura,Oklahoma,0,0
white-tailed ptarmigan,Lagopus leucura,Oregon,0,0
white-tailed ptarmigan,Lagopus leucura,Pennsylvania,0,0
